Authors;Author(s) ID;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Affiliations;Authors with affiliations;Abstract;Author Keywords;Index Keywords;Document Type;Publication Stage;Access Type;Source;EID;label
Kolejka J., Svobodova H.;"57200839388;35722967400;";Typology of Meteorological Weather Forecast Maps Printed in World Newspapers;2020;Cartographic Journal;57;1;;28;42;;;10.1080/00087041.2018.1532692;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070896944&doi=10.1080%2f00087041.2018.1532692&partnerID=40&md5=15a30d8c07b5a3d65b50bc5d3507a3c3;Department of Geography, Faculty of Education, Masaryk University, Brno, Czech Republic;"Kolejka, J., Department of Geography, Faculty of Education, Masaryk University, Brno, Czech Republic; Svobodova, H., Department of Geography, Faculty of Education, Masaryk University, Brno, Czech Republic";This paper presents the results of the analysis of more than 150 different printed newspaper weather forecasting maps, representing 91 global, national, regional and local daily news periodicals from 33 countries in 4 continents. The classification attention focused both on the character of the localizing background layer of the analysed maps as well as on the meteorological thematic layer. The results identify 12 types of background localizing maps and 47 used types of presentation of meteorological forecast information, only 19 of which were used repeatedly in more than one newspaper. All the findings were documented on comparable cartographic models. Conclusions suitable for practical applications are demonstrated in the discussion. © 2019, © 2019 British Cartographic Society.;"background map typology; meteorological information map typology; Newspapers; weather forecast map";"cartography; classification; map; mass media; typology; weather forecasting";Article;Final;;Scopus;2-s2.0-85070896944;1
Li Y., Zhu Q., Fu X., Feng B., Liu M., Zhang J., Zhu J., He H., Yang W.;"57192109311;57203905447;57198669037;57194436339;55978063100;57117636700;56518432000;57194431242;57194213469;";Semantic Visual Variables for Augmented Geovisualization;2020;Cartographic Journal;57;1;;43;56;;1;10.1080/00087041.2018.1533295;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063146752&doi=10.1080%2f00087041.2018.1533295&partnerID=40&md5=674952f673cbdd839a965b82055fecfd;"Southwest Jiaotong University, Chengdu, China; Guangzhou Urban Planning & Design Survey Research Institute, Guangzhou, China";"Li, Y., Southwest Jiaotong University, Chengdu, China; Zhu, Q., Southwest Jiaotong University, Chengdu, China; Fu, X., Southwest Jiaotong University, Chengdu, China; Feng, B., Southwest Jiaotong University, Chengdu, China; Liu, M., Southwest Jiaotong University, Chengdu, China; Zhang, J., Southwest Jiaotong University, Chengdu, China; Zhu, J., Southwest Jiaotong University, Chengdu, China; He, H., Guangzhou Urban Planning & Design Survey Research Institute, Guangzhou, China; Yang, W., Guangzhou Urban Planning & Design Survey Research Institute, Guangzhou, China";The human–cyber–physical world produces a considerable volume of multi-modal spatio-temporal data, thus leading to information overload. Visual variables are used to transform information into visual forms that are perceived by the powerful human vision system. However, previous studies of visual variables focused on methods of ‘drawing information’ without considering ‘intelligence’ derived from balancing ‘importance’ and ‘unimportance’. This paper proposes semantic visual variables to support an augmented geovisualization that aims to avoid exposing users to unnecessary information by highlighting goal-oriented content over redundant details. In this work, we first give definitions of several concepts and then design a semiotic model for depicting the mechanisms of augmented geovisualization. We also provide an in-depth discussion of semantic visual variables based on a hierarchical organization of the original visual variables, and we analyse the critical influencing factors that affect the choice of visualization forms and visual variables. Finally, a typical application is used to illustrate the relevance of this study. © 2019, © 2019 British Cartographic Society.;"augmented geovisualization; degree of abstraction; degree of interest; focus and context; level of detail; Semantic visual variables";"cartography; visualization";Article;Final;;Scopus;2-s2.0-85063146752;1
Edler D., Keil J., Tuller M.-C., Bestgen A.-K., Dickmann F.;"36547781800;57203095141;57204855264;56184246900;6507224680;";Searching for the ‘Right’ Legend: The Impact of Legend Position on Legend Decoding in a Cartographic Memory Task;2020;Cartographic Journal;57;1;;6;17;;3;10.1080/00087041.2018.1533293;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057561191&doi=10.1080%2f00087041.2018.1533293&partnerID=40&md5=369c58510f9b61371b06336dbb96fe52;Geography Department, Ruhr-University Bochum (RUB), Bochum, Germany;"Edler, D., Geography Department, Ruhr-University Bochum (RUB), Bochum, Germany; Keil, J., Geography Department, Ruhr-University Bochum (RUB), Bochum, Germany; Tuller, M.-C., Geography Department, Ruhr-University Bochum (RUB), Bochum, Germany; Bestgen, A.-K., Geography Department, Ruhr-University Bochum (RUB), Bochum, Germany; Dickmann, F., Geography Department, Ruhr-University Bochum (RUB), Bochum, Germany";Map legends are key elements of thematic maps and cartographic communication. The question of how to style map legends is a topic which has often been addressed by cartographic academics and practitioners. Nevertheless, the question of where to position a map legend has only hardly been discussed. Principles of cognitive sciences allow the assumption that a legend positioned to the right of a map field can be read and decoded faster than a legend on the left side. This study investigates the impact of legend positioning on legend decoding. It involves an experiment based on a recognition memory paradigm and the registration of eye-movements. The results show that, in less time, a legend positioned to the right of the map field (compared to a left legend) can be decoded faster. The same accuracy of a cognitive representation of geographic space can be achieved in spatial memory. © 2018, © 2018 British Cartographic Society.;"Cognitive cartography; empirical cartography; eye-tracking; legend; legend position; spatial cognition";"cartography; cognition; thematic mapping; tracking";Article;Final;;Scopus;2-s2.0-85057561191;1
Wu M., Lv G., Zhang K.;"55769573900;23005135600;57201900998;";A Similarity-Based Approach for Improving the Efficiency of Drawing Spatiotemporal Point Features;2020;Cartographic Journal;57;1;;57;69;;;10.1080/00087041.2018.1500767;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057265594&doi=10.1080%2f00087041.2018.1500767&partnerID=40&md5=1e726b5614beb42bd627ccb0b41b5a6a;Key Laboratory of Virtual Geographic Environment of Ministry of Education and College of Geographic Sciences, Nanjing Normal University and Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China;"Wu, M., Key Laboratory of Virtual Geographic Environment of Ministry of Education and College of Geographic Sciences, Nanjing Normal University and Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Lv, G., Key Laboratory of Virtual Geographic Environment of Ministry of Education and College of Geographic Sciences, Nanjing Normal University and Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China; Zhang, K., Key Laboratory of Virtual Geographic Environment of Ministry of Education and College of Geographic Sciences, Nanjing Normal University and Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing, China";The mapping of spatiotemporal point features plays an important role in geovisualization. However, such mapping suffers from low efficiency due to computational redundancy when similar symbols are used to visualize spatiotemporal point features. This paper presents a similarity-based approach to predict and avoid computational redundancy, which improves mapping efficiency. First, to identify computational redundancy, the similarity of point symbols is measured based on commonalities in symbol graphics and symbol drawing operations. Second, a similarity-enhanced method is proposed to comprehensively predict and avoid computational redundancies when mapping spatiotemporal point features. This approach was tested using two real-world spatiotemporal datasets. The results suggest that the proposed approach offers relatively large performance improvements. © 2018, © British Cartographic Society 2018.;"computational redundancy; geovisualization pipeline; point symbol; Similarity; spatiotemporal point features";"cartography; numerical model; performance assessment; satellite data; satellite imagery; spatiotemporal analysis; visualization";Article;Final;;Scopus;2-s2.0-85057265594;1
Wabiński J., Mościcka A., Kuźma M.;"57210134780;38362067100;57201372824;";The Information Value of Tactile Maps: A Comparison of Maps Printed with the Use of Different Techniques;2020;Cartographic Journal;;;;;;;;10.1080/00087041.2020.1721765;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091890043&doi=10.1080%2f00087041.2020.1721765&partnerID=40&md5=15c67a1d528c9b67e46edf6dfe1e8020;Faculty of Civil Engineering and Geodesy, Institute of Geodesy, Military University of Technology, Warsaw, Poland;"Wabiński, J., Faculty of Civil Engineering and Geodesy, Institute of Geodesy, Military University of Technology, Warsaw, Poland; Mościcka, A., Faculty of Civil Engineering and Geodesy, Institute of Geodesy, Military University of Technology, Warsaw, Poland; Kuźma, M., Faculty of Civil Engineering and Geodesy, Institute of Geodesy, Military University of Technology, Warsaw, Poland";Visually impaired people use tactile maps that can be read by the sense of touch or, to a limited extent, with their eyes. This article concerns the methods of assessing tactile maps in terms of their information value. In the research, methods used to assess traditional maps have been adopted to assess tactile maps. Tactile elements of two maps–one developed with the use of traditional methods and the second developed with the use of 3D printing – have been compared. Structural measures of information as well as the information efficiency coefficient of each map have been determined to assess whether new cartographic symbols proposed on a multi-level 3D printed map can increase its information value. © 2020 British Cartographic Society.;"3D printing; blind and visually impaired; Information value; map analysis; structural measure of information; tactile maps";;Article;Article in Press;;Scopus;2-s2.0-85091890043;1
Altić M.;"9132880400;";Charting Newly Created Statehood: A Maritime Survey of the Adriatic by the Joint Forces of the Austro-Hungarian and Italian Hydrographic Offices;2020;Cartographic Journal;;;;;;;;10.1080/00087041.2019.1685288;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091801919&doi=10.1080%2f00087041.2019.1685288&partnerID=40&md5=497e3efc0aef71e6cac8adfa9cef6ddb;Institute of Social Sciences, Zagreb, Croatia;Altić, M., Institute of Social Sciences, Zagreb, Croatia;The process of political and territorial unification of the Kingdom of Italy (1860) and Austria-Hungary (1867) highlighted the issues of territoriality both on land and at sea. As a part of that effort, a need of maritime survey of the Adriatic conducted by the joint forces of the Austro-Hungarian and Italian hydrographic offices appeared. The purpose of this endeavour was to enable the production of modern charts based on a comprehensive survey covering the whole sea surface area, from coast to coast. Under the supervision of Commander Tobias Ritter von Oesterreicher and Counter-Admiral Duke Antonio Imbert, the survey started in 1866 and, by the end of 1873, resulted in a general chart of the Adriatic, 4 course charts of the Adriatic Sea, 55 coastal charts as well as number of harbour plans. This paper presents an analysis of the course of the survey, its products as well as its impact on the subsequent cartography of the Adriatic Sea. © 2019 British Cartographic Society.;"Adriatic sea; Hydrographic Institute of the Italian Navy; Hydrographic Office of the Austro-Hungarian Navy; national identity; sovereignty at sea; territory";;Article;Article in Press;;Scopus;2-s2.0-85091801919;1
Schnürer R., Sieber R., Schmid-Lanter J., Öztireli A.C., Hurni L.;"57190182849;57203082450;57218879846;24329738200;6603125833;";Detection of Pictorial Map Objects with Convolutional Neural Networks;2020;Cartographic Journal;;;;;;;;10.1080/00087041.2020.1738112;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090587914&doi=10.1080%2f00087041.2020.1738112&partnerID=40&md5=84e6afcba60d2b6f22d360f46bcfec43;"Institute of Cartography and Geoinformation, ETH Zurich, Zurich, Switzerland; Abteilung Karten und Panoramen, Zentralbibliothek Zürich, Zurich, Switzerland; Department of Computer Science and Technology, University of Cambridge, Cambridge, United Kingdom";"Schnürer, R., Institute of Cartography and Geoinformation, ETH Zurich, Zurich, Switzerland; Sieber, R., Institute of Cartography and Geoinformation, ETH Zurich, Zurich, Switzerland; Schmid-Lanter, J., Abteilung Karten und Panoramen, Zentralbibliothek Zürich, Zurich, Switzerland; Öztireli, A.C., Department of Computer Science and Technology, University of Cambridge, Cambridge, United Kingdom; Hurni, L., Institute of Cartography and Geoinformation, ETH Zurich, Zurich, Switzerland";In this work, realistically drawn objects are identified on digital maps by convolutional neural networks. For the first two experiments, 6200 images were retrieved from Pinterest. While alternating image input options, two binary classifiers based on Xception and InceptionResNetV2 were trained to separate maps and pictorial maps. Results showed that the accuracy is 95–97% to distinguish maps from other images, whereas maps with pictorial objects are correctly classified at rates of 87–92%. For a third experiment, bounding boxes of 3200 sailing ships were annotated in historic maps from different digital libraries. Faster R-CNN and RetinaNet were compared to determine the box coordinates, while adjusting anchor scales and examining configurations for small objects. A resulting average precision of 32% was obtained for Faster R-CNN and of 36% for RetinaNet. Research outcomes are relevant for trawling map images on the Internet and for enhancing the advanced search of digital map catalogues. © 2020 British Cartographic Society.;"Artificial intelligence; classification; convolutional neural networks; map libraries; object detection; pictorial maps";;Article;Article in Press;;Scopus;2-s2.0-85090587914;1
Roth R.E.;"24489311800;";Cartographic Design as Visual Storytelling: Synthesis and Review of Map-Based Narratives, Genres, and Tropes;2020;Cartographic Journal;;;;;;;1;10.1080/00087041.2019.1633103;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088247041&doi=10.1080%2f00087041.2019.1633103&partnerID=40&md5=691449c39e9ca7fc7f213ee94f7a9dd6;"Department of Geography, University of Wisconsin−Madison, Madison, WI, United States; International Training Center (ITC), Department of Geo-Information Processing, University of Twente, Enschede, Netherlands";Roth, R.E., Department of Geography, University of Wisconsin−Madison, Madison, WI, United States, International Training Center (ITC), Department of Geo-Information Processing, University of Twente, Enschede, Netherlands;In this article, I review considerations and techniques for approaching cartographic design as visual storytelling. Stories, like maps, are a method for documenting and explaining, for meaningfully abstracting our experiences, for communicating and sharing, and for asserting a particular worldview. I argue that visual storytelling offers an entry point for hybridization in cartography, uniting technology with praxis, product with process, and design with critique while opening rich new avenues for transdisciplinary research and design. I begin by introducing influences on map-based visual storytelling and review ten recurring themes that make visual storytelling different from traditional perspectives on cartographic design. I then offer three of potentially many ways to articulate and organize the design space for map-based visual storytelling: foundational narrative elements and their adaptation to geographic phenomena and processes, visual storytelling genres delineating different story experiences, and visual storytelling tropes used to advance narratives across text, maps, images, and other multimedia. I conclude with a call for future research on visual storytelling in cartography, including visual design, visual ethics, and visual literacy. © 2020 British Cartographic Society.;"Cartographic design; data journalism; geohumanities; spatial narratives; story map; visual storytelling";;Article;Article in Press;Open Access;Scopus;2-s2.0-85088247041;1
Kerkovits K.;"57208443871;";Quadrature Rules to Calculate Distortions of Map Projections;2020;Cartographic Journal;;;;;;;1;10.1080/00087041.2020.1714278;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086944533&doi=10.1080%2f00087041.2020.1714278&partnerID=40&md5=430187eaa2cd85a1cb6d5bbff47af2c6;Department of Cartography and Geoinformatics, ELTE Eötvös Loránd University, Budapest, Hungary;Kerkovits, K., Department of Cartography and Geoinformatics, ELTE Eötvös Loránd University, Budapest, Hungary;In map projection theory, it is usual to utilize numerical quadrature rules to estimate the overall map distortion. However, it is not known which method is the most efficient to approximate this integral. In this paper, overall map distortion is calculated analytically by a computer algebra system. Various integration methods are compared to the exact results. Some calculations are also performed on irregular spherical polygons. Considering the experiments, the author suggests utilizing the first-order Gaussian quadrature as it always gave reasonable results, although it is not the best for all cases. © 2020 British Cartographic Society.;"Airy–Kavrayskiy criterion; distortion value; map distortion; map projections; Numerical quadrature; spherical integral";;Article;Article in Press;;Scopus;2-s2.0-85086944533;1
Lapon L., De Maeyer P., De Wit B., Dupont L., Vanhaeren N., Ooms K.;"57190572207;8973773500;56425769100;55750226700;57196039159;35176370900;";The Influence of Web Maps and Education on Adolescents’ Global-scale Cognitive Map;2020;Cartographic Journal;;;;;;;2;10.1080/00087041.2019.1660512;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082338417&doi=10.1080%2f00087041.2019.1660512&partnerID=40&md5=f74b19ae48bb39004e607a84d90e957a;Department of Geography, Ghent University, Ghent, Belgium;"Lapon, L., Department of Geography, Ghent University, Ghent, Belgium; De Maeyer, P., Department of Geography, Ghent University, Ghent, Belgium; De Wit, B., Department of Geography, Ghent University, Ghent, Belgium; Dupont, L., Department of Geography, Ghent University, Ghent, Belgium; Vanhaeren, N., Department of Geography, Ghent University, Ghent, Belgium; Ooms, K., Department of Geography, Ghent University, Ghent, Belgium";Several factors influence the global-scale cognitive map. The use of school books, atlases and web maps all play an essential role in the development of geographical knowledge of adolescents. This research examines the impact of the educational system versus web maps on the adolescents’ mental map. Through a specially designed web application, university students and secondary school pupils estimated the real proportion of countries and continents compared to Europe. Participants with a more theoretical background or wider knowledge about map projections and its distortions estimated the real proportions more accurately. This research also found that the Robinson projection, commonly used in schoolbooks and atlases, is the best-known map projection among adolescents. However, the influence of web maps could not be proven since no Mercator effect was found. Education is of undeniable importance, and therefore, educational materials that encourage people to look more carefully and critically at maps should be further developed. © 2020, © 2020 British Cartographic Society.;"Cartography; cognitive map; education; geography; map projection; web map";;Article;Article in Press;;Scopus;2-s2.0-85082338417;1
Svenningsen S.R., Perner M.L.;"55327477700;57204200308;";Soviet Cold War Maps: Examining the Organization and Practices of Production Through the Case of Denmark;2020;Cartographic Journal;;;;;;;;10.1080/00087041.2019.1660518;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080991811&doi=10.1080%2f00087041.2019.1660518&partnerID=40&md5=b72ee1dd23c5069cac464a8c657d840f;Royal Danish Library, Special Collections, Copenhagen, Denmark;"Svenningsen, S.R., Royal Danish Library, Special Collections, Copenhagen, Denmark; Perner, M.L., Royal Danish Library, Special Collections, Copenhagen, Denmark";During the Cold War, the Soviet military carried out an ambitious mapping programme, which resulted in a global series of topographic maps. Although recent advances in scholarship have increased our knowledge of the production of these maps, we still know little about the organization behind them. Based on information from a set of 466 1:50 000-scale Soviet military topographic maps of Denmark, this article examines the Soviet mapping practices related to the large-scale mapping of Denmark. Results show that the Soviet military compiled large-scale topographic maps of Denmark between the 1950s and the 1980s. The maps were initially based on Danish maps, but later the Soviets began to prefer remote-sensed data from satellite imagery. This allowed the Soviets to capture information about concealed military infrastructure. The article also shows the potential for using information from the map sheets in a transnational analysis of the Soviet mapping during the Cold War. © 2020, © 2020 British Cartographic Society.;"geospatial intelligence; military maps; Remote sensing; satellite imagery; topographic maps; Warsaw Pact";;Article;Article in Press;;Scopus;2-s2.0-85080991811;1
Kent A.J.;"26323581300;";A Picture and an Argument: Mapping for Peace with a Cartography of Hope;2019;Cartographic Journal;56;4;;275;279;;1;10.1080/00087041.2019.1694804;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077710239&doi=10.1080%2f00087041.2019.1694804&partnerID=40&md5=0c70832271efa876f70c44ac0ebb2670;;Kent, A.J.;[No abstract available];;;Editorial;Final;Open Access;Scopus;2-s2.0-85077710239;1
[No author name available];[No author id available];The British Cartographic Society Annual Report for the Year Ended 30th June 2019;2019;Cartographic Journal;56;4;;368;374;;;10.1080/00087041.2019.1702358;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077706827&doi=10.1080%2f00087041.2019.1702358&partnerID=40&md5=7e9abbbaa4e133be638179d94baeb682;;;[No abstract available];;;Note;Final;;Scopus;2-s2.0-85077706827;1
Nieścioruk K.;"12143834100;";Cartographic Delimitation of the City Centre Using Mental Sketches;2019;Cartographic Journal;56;4;;355;367;;;10.1080/00087041.2018.1547472;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067683402&doi=10.1080%2f00087041.2018.1547472&partnerID=40&md5=3f988bd814b0eb3b2f4939e0ddb46c36;Department of Environmental Engineering and Geodesy, University of Life Sciences in Lublin, Lublin, Poland;Nieścioruk, K., Department of Environmental Engineering and Geodesy, University of Life Sciences in Lublin, Lublin, Poland;The paper deals with the problem of the city centre delimitation. The direct, survey research of almost one hundred respondents has been conducted. The test groups were teenagers, students of two Lublin schools. The research method was a freehand, basic mental sketch map, giving surveyed people a freedom of both content and form of a sketch. The mental (or cognitive) mapping is a well-established approach in the fields of psychology, geography, social science, planning and more with a wide scope of topics being tested with this methodology. The gathered data were processed in the GIS software using vectorization of the centre extents and map algebra approach. The results are presented in a form of data-aggregating maps for a whole group of students as well as for subgroups (different schools, different place of residence). © 2019, © 2019 British Cartographic Society.;"city centre; cognitive maps; Mental maps; mental sketches";"cartography; cognition; map; student; urban area; Lubelskie; Lublin; Poland [Central Europe]";Article;Final;;Scopus;2-s2.0-85067683402;1
Beconytė G., Snežko J., Balčiūnas A., Vidugirytė-Pakerienė I.;"6507945785;57209368444;37861131000;57209367405;";Enhanced Conceptual Model for Spatial References in Works of Fiction: Mapping Vilnius Literature;2019;Cartographic Journal;56;4;;321;334;;;10.1080/00087041.2018.1533292;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067575674&doi=10.1080%2f00087041.2018.1533292&partnerID=40&md5=ded81bd1fbbbc1fce3f013bf3714051e;"Institute of Geosciences, Vilnius University, Vilnius, Lithuania; Institute for the Languages and Cultures of the Baltic, Vilnius University, Vilnius, Lithuania";"Beconytė, G., Institute of Geosciences, Vilnius University, Vilnius, Lithuania; Snežko, J., Institute for the Languages and Cultures of the Baltic, Vilnius University, Vilnius, Lithuania; Balčiūnas, A., Institute of Geosciences, Vilnius University, Vilnius, Lithuania; Vidugirytė-Pakerienė, I., Institute for the Languages and Cultures of the Baltic, Vilnius University, Vilnius, Lithuania";This paper presents a data model developed during the project of mapping the literature of Vilnius, capital of Lithuania. The city has for centuries been an important place for Lithuanian, Polish, Jewish and Russian culture. Various literary texts reflect different spatial conceptualizations. The diversity of spatial references in the literature of Vilnius calls for a comprehensive literary database that would store the different types of spatial references: locations, zones, routes, spatial links and events, related both to literary spaces and to authors’ biographies. For this purpose, a data model proposed by previous researchers has been modified and enhanced. A Web GIS application was designed for the input of geographic data. The elaborated conceptual model is not limited to Vilnius literature. It can readily be applied to any work of fiction or biography depending on the academic interests of the researcher. © 2019, © British Cartographic Society 2019.;"cartography; conceptual model; geography; Literary space; literature; map; Vilnius";"biography; cartogram; conceptual framework; geographical research; GIS; mapping; spatial analysis; Lithuania; Vilnius";Article;Final;;Scopus;2-s2.0-85067575674;1
